Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
North Caldwell,"7,016",2,0,1,0,1,30,14,16,0,0,
Northfield,"7,903",9,1,0,5,3,114,32,80,2,0,
North Haledon,"9,021",1,0,0,0,1,48,13,33,2,0,
North Hanover Township,"7,335",10,0,0,2,8,87,22,63,2,0,
North Plainfield,"21,077",78,0,4,30,44,499,91,382,26,0,
Northvale,"4,748",3,0,0,1,2,48,0,48,0,0,
North Wildwood,"4,786",17,0,2,3,12,302,52,240,10,0,
Norwood,"6,256",1,0,0,0,1,24,10,13,1,0,
Nutley Township,"26,033",25,0,2,7,16,361,86,239,36,3,
Oakland,"13,400",5,0,0,1,4,112,17,91,4,1,
Oaklyn,"4,014",8,0,0,3,5,93,22,68,3,1,
Ocean City,"14,686",25,0,3,6,16,851,178,668,5,2,
Ocean Gate,"2,143",2,0,0,1,1,43,9,33,1,0,
Oceanport,"5,723",3,0,0,2,1,73,21,50,2,3,
"Ocean Township, Monmouth County","28,360",61,0,4,28,29,855,134,705,16,3,
"Ocean Township, Ocean County","9,329",1,0,0,0,1,115,13,97,5,0,
Ogdensburg,"2,535",1,0,0,0,1,15,5,10,0,0,
Old Bridge Township,"66,460",41,0,6,13,22,860,156,649,55,1,
Old Tappan,"6,091",1,0,0,0,1,22,1,21,0,1,
Oradell,"7,751",3,0,0,1,2,65,12,52,1,0,
Orange,"30,873",358,4,10,193,151,992,348,447,197,2,
Oxford Township,"2,603",0,0,0,0,0,7,4,3,0,0,
Palisades Park,"19,639",20,0,0,10,10,170,30,130,10,0,
Palmyra,"7,374",16,0,2,4,10,191,32,141,18,0,
Paramus,"26,168",88,0,0,45,43,"1,847",119,"1,692",36,5,
Park Ridge,"8,940",3,0,1,0,2,29,7,21,1,0,
Parsippany-Troy Hills Township,"50,095",27,0,1,8,18,695,232,437,26,0,
Passaic,"66,773",516,3,2,246,265,"1,580",306,"1,124",150,2,
Paterson,"144,943","1,318",15,28,631,644,"3,836","1,241","1,966",629,15,
Paulsboro,"6,066",35,0,0,20,15,242,63,175,4,0,
Peapack and Gladstone,"2,572",0,0,0,0,0,13,3,10,0,0,
Pemberton,"1,583",1,0,1,0,0,21,3,18,0,0,
Pemberton Township,"27,914",53,1,4,16,32,583,165,380,38,2,
Pennington,"2,651",0,0,0,0,0,17,3,13,1,1,
Pennsauken Township,"34,905",114,0,13,51,50,"1,183",242,811,130,5,
Penns Grove,"4,668",28,0,2,12,14,184,57,120,7,1,
Pennsville Township,"13,365",23,0,1,4,18,424,82,332,10,3,
Pequannock Township,"17,003",4,0,0,0,4,137,35,99,3,0,
Perth Amboy,"48,897",164,1,3,81,79,"1,057",207,736,114,7,
Phillipsburg,"14,459",47,0,8,18,21,408,76,320,12,2,
Pine Beach,"2,093",0,0,0,0,0,24,3,21,0,0,
Pine Hill,"11,358",36,0,0,9,27,264,70,175,19,2,
Pine Valley,25,0,0,0,0,0,1,1,0,0,0,
Piscataway Township,"52,605",54,3,0,17,34,487,120,334,33,2,
Pitman,"9,193",3,0,0,2,1,131,23,99,9,3,
Plainfield,"45,939",474,2,8,254,210,"1,299",334,846,119,2,
Plainsboro Township,"21,243",11,0,1,2,8,171,17,146,8,0,
Pleasantville,"18,838",171,4,5,82,80,579,181,360,38,4,
Plumsted Township,"8,318",8,0,3,1,4,53,12,37,4,1,
Pohatcong Township,"3,321",12,0,0,2,10,84,8,76,0,0,
Point Pleasant,"20,232",12,0,0,2,10,339,31,300,8,0,
Point Pleasant Beach,"5,430",6,0,0,2,4,275,29,241,5,0,
Pompton Lakes,"11,075",20,1,1,3,15,134,30,98,6,0,
Princeton,"13,373",19,0,1,8,10,342,73,264,5,2,
Princeton Township,"17,517",15,0,0,4,11,149,31,117,1,1,
Prospect Park,"5,574",25,0,0,9,16,97,22,67,8,1,
Rahway,"28,869",89,1,2,52,34,585,145,386,54,1,
Ramsey,"14,620",10,0,1,3,6,135,13,119,3,0,
Randolph Township,"25,226",5,0,1,3,1,179,23,149,7,0,
Raritan,"7,413",6,0,2,1,3,176,20,153,3,0,
Raritan Township,"22,637",6,0,1,2,3,205,21,180,4,0,
Readington Township,"16,053",6,0,0,2,4,107,28,75,4,1,
Red Bank,"11,866",30,2,1,10,17,227,22,200,5,2,
Ridgefield,"10,852",3,0,0,1,2,91,23,57,11,0,
Ridgefield Park,"12,316",19,0,0,3,16,148,25,114,9,0,
Ridgewood,"24,080",10,0,2,3,5,196,43,146,7,3,
Ringwood,"12,711",8,0,1,2,5,66,6,60,0,0,
Riverdale,"2,902",1,0,0,0,1,101,3,95,3,0,
River Edge,"10,644",3,0,0,0,3,73,26,47,0,0,
